MR ID,MR Date,Subject,ScanId,ScanType,SeriesDesc,Project,stat_mean,stat_snr,stat_stddev,AGAR_SFNR,PercentFluctuation,Drift,rdc,meanfwhmx,meanfwhmy,meanfwhmz,meanghost,meanbrightghost,driftfit,BIRN_HUMAN_MEAN,BIRN_HUMAN_SNR,BIRN_HUMAN_SFNR,BIRN_HUMAN_MEAN_MASKED_FWHMX,BIRN_HUMAN_MEAN_MASKED_FWHMY,BIRN_HUMAN_MEAN_MASKED_FWHMZ,XNAT_QCASSESSMENTDATA ID,Scanner,Subject Label
ABCD_AGAR07_20chBay2_20220129,2022-01-29,HCPIntradb_S04439,10,fMRI,FBIRN_QA_fMRI_flip77,Prisma_QC,1289.7,380.1,0.33,378.0,0.03,0.25,12.5,2.712,2.254,2.667,2.833,5.031,0.18,1556.7,453.8,446.0,3.569,3.286,4.289,,AWP166038,AGAR_ABCD07
ABCD_AGAR07_20chBay2_20220129,2022-01-29,HCPIntradb_S04439,8,fMRI,ABCD_QA_fMRI,Prisma_QC,896.4,51.7,0.77,52.8,0.09,1.17,24.4,2.105,1.696,1.154,4.213,7.951,0.69,1138.1,73.2,72.1,2.215,1.848,1.493,,AWP166038,AGAR_ABCD07
ABCD_AGAR07_20chBay2_20220625,2022-06-25,HCPIntradb_S04439,8,fMRI,ABCD_QA_fMRI,Prisma_QC,937.7,51.0,0.93,53.3,0.1,0.62,21.8,2.106,1.7,1.169,4.533,9.007,0.06,1193.9,75.3,74.0,2.233,1.844,1.561,,AWP166038,AGAR_ABCD07
ABCD_AGAR07_20chBay2_20220625,2022-06-25,HCPIntradb_S04439,10,fMRI,FBIRN_QA_fMRI_flip77,Prisma_QC,1337.8,374.1,0.25,391.7,0.02,0.27,16.0,2.762,2.282,2.739,3.091,6.101,0.18,1640.7,459.1,465.1,3.296,3.012,3.936,,AWP166038,AGAR_ABCD07
ABCD_AGAR07_20chBay2_20220701,2022-07-01,HCPIntradb_S04439,10,fMRI,FBIRN_QA_fMRI_flip77,Prisma_QC,1271.4,369.9,0.27,378.2,0.02,0.13,16.4,2.729,2.328,2.663,3.282,6.581,0.02,1566.7,449.9,456.6,3.075,2.691,3.64,,AWP166038,AGAR_ABCD07
ABCD_AGAR07_20chBay2_20220701,2022-07-01,HCPIntradb_S04439,8,fMRI,ABCD_QA_fMRI,Prisma_QC,869.9,52.8,0.85,51.7,0.1,0.86,23.6,2.109,1.711,1.151,4.817,9.65,0.33,1142.4,73.9,71.9,2.272,1.839,1.635,,AWP166038,AGAR_ABCD07
ABCD_AGAR07_20chBay2_20220716,2022-07-16,HCPIntradb_S04439,10,fMRI,FBIRN_QA_fMRI_flip77,Prisma_QC,1312.6,385.3,0.3,389.6,0.02,0.29,13.6,2.73,2.299,2.675,3.202,6.344,0.24,1597.3,457.9,461.1,3.571,3.579,4.893,,AWP166038,AGAR_ABCD07
ABCD_AGAR07_20chBay2_20220716,2022-07-16,HCPIntradb_S04439,8,fMRI,ABCD_QA_fMRI,Prisma_QC,914.1,52.1,0.79,54.2,0.09,1.03,24.3,2.105,1.699,1.156,4.654,9.374,0.59,1170.8,75.4,73.9,2.266,1.929,1.721,,AWP166038,AGAR_ABCD07
ABCD_AGAR07_20chBay2_20220730,2022-07-30,HCPIntradb_S04439,10,fMRI,FBIRN_QA_fMRI_flip77,Prisma_QC,1335.4,376.6,0.29,397.0,0.02,0.18,13.4,2.727,2.359,2.669,3.346,7.01,0.1,1606.0,458.1,466.6,2.958,2.709,3.521,,AWP166038,AGAR_ABCD07
ABCD_AGAR07_20chBay2_20220730,2022-07-30,HCPIntradb_S04439,8,fMRI,ABCD_QA_fMRI,Prisma_QC,922.0,55.0,0.99,55.1,0.11,1.24,18.5,2.111,1.716,1.167,4.872,9.96,0.69,1178.9,78.8,74.1,2.22,1.816,1.499,,AWP166038,AGAR_ABCD07
